Aircraft Type,Aircraft In Fleet,Seats Per Departure,Average Stage Length,Gallons of Fuel Per Block Hour,Load Factor,Block Hours ,Airborne Hours,Departures,RPMs,ASMs,Miles,Gallons,Aircraft Days,Year
Small Narrowbodies,329,127,692,921,67.6%,"1,114,875","931,812","580,483","34,532,235,000","51,054,514,000","401,510,305","1,026,301,421","120,194",1995
Small Narrowbodies,332,128,716,932,69.6%,"1,144,173","958,162","579,248","36,831,941,000","52,899,290,000","414,535,134","1,066,688,619","121,668",1996
Small Narrowbodies,332,128,721,923,69.6%,"1,160,935","969,695","582,116","37,527,616,000","53,954,505,000","419,974,756","1,071,180,655","121,043",1997
Small Narrowbodies,325,131,742,913,70.1%,"1,159,225","968,411","565,457","38,499,368,000","54,894,989,000","419,764,630","1,058,185,737","118,579",1998
Small Narrowbodies,336,131,760,900,68.3%,"1,219,822","1,010,521","577,901","39,365,256,000","57,675,637,000","439,361,183","1,097,702,604","122,593",1999
Small Narrowbodies,347,128,767,910,69.6%,"1,251,742","1,028,648","580,104","39,508,133,000","56,753,139,000","444,981,631","1,138,703,961","127,052",2000
Small Narrowbodies,349,127,793,886,69.4%,"1,175,233","977,411","536,710","37,465,421,000","53,962,804,000","425,713,355","1,041,841,612","127,488",2001
Small Narrowbodies,303,127,820,811,71.2%,"991,704","831,163","443,355","32,780,856,678","46,012,114,200","363,368,085","804,542,288","110,624",2002
Small Narrowbodies,305,127,883,718,75.4%,"1,000,994","918,862","420,753","35,497,906,132","47,095,489,780","371,588,253","719,084,191","111,250",2003
Small Narrowbodies,293,128,906,756,77.7%,"1,053,122","881,398","426,506","38,488,141,077","49,513,446,750","386,583,608","795,864,053","107,347",2004
Small Narrowbodies,249,131,953,765,80.8%,"940,179","794,374","366,557","36,975,452,060","45,753,647,889","349,186,347","719,039,213","90,763",2005
Small Narrowbodies,246,132,942,756,81.8%,"948,700","916,860","374,105","37,882,535,514","46,338,790,494","352,220,970","717,106,308","89,792",2006
Small Narrowbodies,239,131,926,747,82.6%,"930,107","933,277","367,853","36,957,512,698","44,761,446,708","340,752,609","695,146,747","87,302",2006
