Aircraft Type,Salaries and Wages (000),Pilot Training (000),Benefits and Payroll Taxes (000),Per Diem/ Personnel (000),Fuel/Oil (000),Insurance (000),Other Purchased Goods(inc. Tax) (000),Labor (000),Materials (000),Third Party (000),Total Direct (000),Burden (000),Rentals (000),Depreciation and Amortization (000),Other spending (000),Year
Small Narrowbodies,"$432,613.00","$28,235.00","$77,752.00","$44,804.00","$559,698.00","$7,483.00","$60,290.00","$139,373.00","$95,149.00","$34,261.00","$268,767.00","$346,240.00","$367,411.00","$128,906.00","$4,351.00",1995
Small Narrowbodies,"$469,059.00","$22,388.00","$87,128.00","$49,187.00","$684,007.00","$5,449.00","$103,126.00","$140,549.00","$114,794.00","$33,546.00","$288,889.00","$383,776.00","$329,030.00","$140,951.00","$3,999.00",1996
Small Narrowbodies,"$515,538.00","$23,838.00","$77,679.00","$52,203.00","$670,673.00","$4,200.00","$97,575.00","$145,996.00","$143,919.00","$75,406.00","$365,321.00","$442,403.00","$327,893.00","$121,923.00","$10,910.00",1997
Small Narrowbodies,"$508,323.00","$22,037.00","$105,045.00","$53,819.00","$567,226.00","$2,560.00","$92,734.00","$149,664.00","$171,557.00","$110,889.00","$428,600.00","$425,560.00","$316,320.00","$142,805.00","$14,361.00",1998
Small Narrowbodies,"$533,546.00","$25,315.00","$108,242.00","$61,137.00","$559,818.00","$2,445.00","$100,992.00","$164,053.00","$197,205.00","$153,840.00","$512,748.00","$448,041.00","$313,635.00","$183,650.00","$4,805.00",1999
Small Narrowbodies,"$605,325.00","$25,163.00","$143,949.00","$64,303.00","$837,938.00","$2,851.00","$121,396.00","$166,942.00","$175,974.00","$156,635.00","$491,585.00","$456,232.00","$315,140.00","$240,810.00","$7,809.00",2000
Small Narrowbodies,"$649,540.00","$29,921.00","$247,814.00","$71,889.00","$855,035.00","$7,264.00","$73,382.00","$148,830.00","$154,068.00","$196,397.00","$489,601.00","$459,847.00","$315,176.00","$254,962.00","-$2,125.00",2001
Small Narrowbodies,"$563,728.00","$22,831.00","$257,181.00","$53,376.00","$574,475.00","$16,507.00","$55,814.00","$156,926.00","$81,388.00","$122,092.00","$359,038.00","$345,478.00","$330,539.00","$176,997.00","$6,674.00",2002
Small Narrowbodies,"$370,899.00","$11,309.00","$213,327.00","$39,426.00","$698,838.00","$9,446.00","$62,248.00","$96,316.00","$66,075.00","$157,145.00","$317,272.00","$276,936.00","$238,917.00","$160,366.00","$2,113.00",2003
Small Narrowbodies,"$344,352.00","$9,293.00","$166,083.00","$36,673.00","$956,759.00","$6,164.00","$69,954.00","$78,252.00","$73,795.00","$211,043.00","$356,938.00","$225,395.00","$209,656.00","$167,437.00","$8,393.00",2004
Small Narrowbodies,"$274,114.00","$10,253.00","$116,295.00","$34,270.00","$1,228,693.00","$4,921.00","$67,598.00","$63,433.00","$64,500.00","$262,564.00","$387,983.00","$189,205.00","$136,478.00","$159,458.00","$14,703.00",2005
Small Narrowbodies,"$277,744.00","$8,183.00","$114,430.00","$38,262.00","$1,472,334.00","$4,151.00","$73,076.00","$64,374.00","$70,244.00","$334,085.00","$468,531.00","$215,146.00","$182,889.00","$164,491.00","$4,192.00",2006
Small Narrowbodies,"$275,166.00","$9,754.00","$109,587.00","$40,768.00","$1,492,542.00","$3,499.00","$67,035.00","$63,269.00","$94,078.00","$394,851.00","$552,080.00","$223,004.00","$185,287.00","$178,042.00","$2,399.00",2007
Small Narrowbodies,"$274,264.00","$7,933.00","$113,649.00","$39,264.00","$2,224,542.00","$1,645.00","$74,085.00","$62,143.00","$73,609.00","$321,375.00","$454,077.00","$179,140.00","$184,585.00","$164,808.00","$3,446.00",2008
Small Narrowbodies,"$228,164.00","$8,636.00","$107,956.00","$29,865.00","$827,557.00","$1,960.00","$45,047.00","$70,813.00","$33,709.00","$238,210.00","$342,732.00","$116,258.00","$138,365.00","$142,259.00",$894.00,2009
Small Narrowbodies,"$208,150.00","$4,046.00","$90,693.00","$26,444.00","$1,034,620.00","$2,405.00","$44,716.00","$93,845.00","$26,389.00","$303,299.00","$423,533.00","$108,198.00","$117,561.00","$103,182.00","$24,944.00",2010
