Productivity Measures,Pilots & Co-Pilots ,Flight Attendants ,Maintenance,"Passenger, Cargo and Aircraft Handling",Other,Year
Block Hours Per Employee Per Month,48.5,47.4,36.5,6.5,7.2,1995
Block Hours Per Employee Per Month,47.7,47.5,81.2,6.2,6.4,1996
Block Hours Per Employee Per Month,42.8,61.3,11.9,9.0,10.0,1997
Block Hours Per Employee Per Month,39.7,32.0,11.8,8.4,10.1,1998
Block Hours Per Employee Per Month,35.1,29.5,11.8,10.0,9.2,1999
Block Hours Per Employee Per Month,38.5,30.8,12.2,10.2,7.6,2000
Block Hours Per Employee Per Month,35.8,28.6,12.2,10.3,6.8,2001
Block Hours Per Employee Per Month,40.6,32.4,25.4,5.5,13.1,2002
Block Hours Per Employee Per Month,40.0,34.3,18.9,7.4,16.4,2003
Block Hours Per Employee Per Month,51.2,39.1,29.9,5.6,35.5,2004
Block Hours Per Employee Per Month,49.8,37.2,31.9,5.9,35.7,2005
Block Hours Per Employee Per Month,49.7,39.0,32.2,6.2,42.6,2006
Block Hours Per Employee Per Month,48.6,38.5,31.5,6.1,40.9,2007
Block Hours Per Employee Per Month,45.8,41.7,22.4,6.4,49.7,2008
Block Hours Per Employee Per Month,45.0,37.7,30.5,6.0,44.5,2009
Block Hours Per Employee Per Month,43.8,37.3,29.0,5.9,43.3,2010
Block Hours Per Employee Per Month,42.5,36.6,28.6,5.6,39.4,2011
Block Hours Per Employee Per Month,45.8,39.4,27.7,5.4,43.1,2012
Block Hours Per Employee Per Month,43.3,38.9,33.3,5.1,47.5,2013
Block Hours Per Employee Per Month,41.8,39.3,33.0,5.4,50.3,2014
Block Hours Per Employee Per Month,40.2,40.2,31.9,5.7,51.3,2015
ASMs Per Employee (000),"20,828.8","11,472.3","34,300.2","6,071.5","6,752.5",1995
ASMs Per Employee (000),"20,712.9","11,499.5","76,273.9","5,855.4","5,986.9",1996
ASMs Per Employee (000),"18,618.4","14,893.1","11,247.1","8,473.8","9,469.2",1997
ASMs Per Employee (000),"17,376.6","7,777.6","11,196.8","7,963.1","9,519.6",1998
ASMs Per Employee (000),"15,032.1","7,111.6","10,936.3","9,227.0","8,544.3",1999
ASMs Per Employee (000),"15,388.7","7,367.1","11,074.9","9,262.3","6,945.5",2000
ASMs Per Employee (000),"14,637.8","6,953.7","11,117.5","9,363.3","6,244.6",2001
ASMs Per Employee (000),"18,619.5","7,959.3","23,302.1","5,017.4","11,985.1",2002
ASMs Per Employee (000),"17,763.5","8,411.8","16,783.3","6,538.3","14,579.5",2003
ASMs Per Employee (000),"22,809.5","9,533.6","26,632.7","4,993.7","31,681.8",2004
ASMs Per Employee (000),"22,875.3","9,172.5","29,319.5","5,377.3","32,763.7",2005
ASMs Per Employee (000),"22,795.1","9,615.3","29,514.3","5,654.2","39,030.3",2006
ASMs Per Employee (000),"22,388.2","9,442.7","29,011.7","5,656.4","37,668.2",2007
ASMs Per Employee (000),"21,439.1","10,281.5","20,933.6","6,032.0","46,511.2",2008
ASMs Per Employee (000),"21,992.1","9,460.3","29,877.8","5,831.1","43,555.0",2009
ASMs Per Employee (000),"22,105.5","9,560.2","29,291.6","5,943.1","43,711.6",2010
ASMs Per Employee (000),"21,670.9","9,427.4","29,188.7","5,686.2","40,112.4",2011
ASMs Per Employee (000),"21,850.6","10,066.1","26,410.2","5,117.9","41,176.3",2012
ASMs Per Employee (000),"20,768.1","9,981.6","31,940.2","4,873.6","45,546.9",2013
ASMs Per Employee (000),"20,265.2","10,079.2","31,925.6","5,243.4","48,738.9",2014
ASMs Per Employee (000),"19,766.0","10,286.5","31,332.8","5,555.7","50,402.5",2015
Employees Per Aircraft,6.3,6.4,8.4,47.3,42.5,1995
Employees Per Aircraft,6.5,6.5,3.8,49.6,48.5,1996
Employees Per Aircraft,7.3,5.1,26.4,35.1,31.4,1997
Employees Per Aircraft,8.1,10.0,27.1,38.1,31.9,1998
Employees Per Aircraft,9.3,11.0,27.5,32.6,35.2,1999
Employees Per Aircraft,8.3,10.4,26.4,31.5,42.0,2000
Employees Per Aircraft,8.5,10.6,24.8,29.5,44.2,2001
Employees Per Aircraft,7.2,9.0,11.5,53.3,22.3,2002
Employees Per Aircraft,7.0,8.1,14.8,37.9,17.0,2003
Employees Per Aircraft,6.1,8.0,10.5,56.1,8.8,2004
Employees Per Aircraft,6.6,8.9,10.3,56.4,9.3,2005
Employees Per Aircraft,6.8,8.7,10.5,55.0,8.0,2006
Employees Per Aircraft,7.0,8.8,10.8,55.4,8.3,2007
Employees Per Aircraft,7.1,7.8,14.6,50.6,6.6,2008
Employees Per Aircraft,7.3,8.7,10.8,55.1,7.4,2009
Employees Per Aircraft,7.7,9.0,11.5,56.9,7.7,2010
Employees Per Aircraft,7.7,8.9,11.4,58.4,8.3,2011
Employees Per Aircraft,7.1,8.2,11.7,60.6,7.5,2012
Employees Per Aircraft,7.3,8.2,9.6,62.6,6.7,2013
Employees Per Aircraft,8.3,8.8,10.5,63.9,6.9,2014
Employees Per Aircraft,7.9,7.9,9.9,55.9,6.2,2015
Passengers Per Employee,"10,352","5,702","17,047","3,017","3,356",1995
Passengers Per Employee,"10,423","5,787","38,382","2,946","3,013",1996
Passengers Per Employee,"9,275","7,419","5,603","4,221","4,717",1997
