Salary & Benefits Category,Management and All Other,Pilots & Co-Pilots,Flight Attendants,Maintenance,"Passenger, Cargo and Aircraft Handling",All Others,Year,,United Airlines Employee Data and Analysis,,,,,,,,,,,,,,,,,,,,,
Average Salary," $28,122 "," $135,728 "," $43,496 "," $134,850 "," $38,803 ",,1995,,United Airlines,,,,,,,,,,,,,,,,,,,,,
Average Salary," $25,533 "," $146,249 "," $46,528 "," $307,347 "," $39,840 ",,1996,,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Average Salary," $46,217 "," $147,212 "," $60,664 "," $48,006 "," $63,328 ",,1997,,Traffic Indicies,,,,,,,,,,,,,,,,,,,,,
Average Salary," $41,105 "," $135,886 "," $33,258 "," $47,085 "," $59,252 ",,1998,,,,,,,,,,,,,,,,,,,,,,,
Average Salary," $38,910 "," $117,920 "," $31,307 "," $46,288 "," $70,214 ",,1999,,Stage Length in Miles (for SLA purposes) ," 1,046 "," 1,068 "," 1,088 "," 1,115 "," 1,121 "," 1,145 "," 1,181 "," 1,224 "," 1,255 "," 1,293 "," 1,368 "," 1,364 "," 1,371 "," 1,402 "," 1,446 "," 1,541 "," 1,614 "," 1,661 "," 1,702 "," 1,720 "," 1,684 "
Average Salary," $38,867 "," $132,126 "," $35,604 "," $49,525 "," $68,963 ",,2000,,Seats Per Departure (for SDA purposes), 194 , 194 , 195 , 195 , 192 , 190 , 188 , 187 , 181 , 183 , 186 , 186 , 188 , 190 , 195 , 197 , 198 , 187 , 187 , 189 , 192 
Average Salary," $39,307 "," $138,627 "," $32,958 "," $51,675 "," $68,096 ",,2001,,Price Per Gallon of Fuel, $0.56 , $0.66 , $0.64 , $0.54 , $0.52 , $0.75 , $0.83 , $0.73 , $0.99 , $1.18 , $1.70 , $2.02 , $2.11 , $2.88 , $1.68 , $2.28 , $2.87 , $3.25 , $3.04 , $2.91 , $1.91 
Average Salary," $59,240 "," $184,429 "," $44,188 "," $103,942 "," $40,200 ",,2002,,Airborne Hours / Block Hours,87%,87%,87%,87%,86%,86%,87%,87%,90%,84%,87%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Average Salary," $62,207 "," $116,998 "," $34,003 "," $48,500 "," $49,469 ",,2003,,,,,,,,,,,,,,,,,,,,,,,
Average Salary," $138,868 "," $132,010 "," $39,314 "," $70,429 "," $30,270 ",,2004,,Outsourcing Indicies,,,,,,,,,,,,,,,,,,,,,
Average Salary," $133,761 "," $115,242 "," $35,268 "," $65,873 "," $26,099 ",,2005,,,,,,,,,,,,,,,,,,,,,,,
Average Salary," $212,550 "," $114,985 "," $36,180 "," $68,432 "," $26,177 ",,2006,,Maintenance $'s Outsourced,7.7%,9.1%,13.6%,15.0%,16.2%,16.3%,18.4%,16.7%,21.3%,33.0%,40.5%,44.9%,45.7%,44.3%,40.6%,40.0%,51.5%,47.3%,52.1%,52.6%,52.1%
Average Salary," $197,643 "," $115,711 "," $35,811 "," $69,997 "," $25,624 ",,2007,,Other Outsourcing as % of  Total Exp. (ex-Fuel),6.9%,7.2%,7.2%,8.2%,8.3%,8.5%,8.1%,7.5%,7.3%,8.5%,8.4%,10.5%,10.8%,9.8%,10.0%,11.0%,10.1%,9.4%,7.6%,8.5%,9.2%
Average Salary," $244,710 "," $119,460 "," $40,139 "," $53,420 "," $27,970 ",,2008,,Transport Related Expense (000)," $446,305 "," $535,217 "," $546,559 "," $474,275 "," $602,400 "," $1,037,930 "," $1,245,909 "," $1,196,490 "," $1,598,738 "," $2,771,582 "," $3,372,675 "," $3,491,325 "," $3,253,526 "," $3,511,413 "," $3,158,694 "," $3,738,526 "," $4,163,145 "," $6,412,965 "," $7,488,281 "," $7,310,905 "," $5,968,646 "
Average Salary," $212,604 "," $125,465 "," $40,559 "," $75,360 "," $26,918 ",,2009,,,,,,,,,,,,,,,,,,,,,,,
Average Salary," $309,181 "," $124,228 "," $40,373 "," $75,290 "," $25,206 ",,2010,,Productivity Measures (unadjusted),,,,,,,,,,,,,,,,,,,,,
Average Salary," $267,035 "," $125,690 "," $37,888 "," $76,686 "," $25,973 ",,2011,,,,,,,,,,,,,,,,,,,,,,,
Average Salary," $338,829 "," $143,076 "," $50,490 "," $64,970 "," $32,523 ",,2012,,Block Hours Per Employee Per Month,,,,,,,,,,,,,,,,,,,,,
Average Salary," $297,323 "," $164,581 "," $46,946 "," $80,186 "," $29,332 ",,2013,,Pilots & Co-Pilots (note: Includes Flight Engineers where applicable), 48.5 , 47.7 , 42.8 , 39.7 , 35.1 , 38.5 , 35.8 , 40.6 , 40.0 , 51.2 , 49.8 , 49.7 , 48.6 , 45.8 , 45.0 , 43.8 , 42.5 , 45.8 , 43.3 , 41.8 , 40.2 
Average Salary," $317,203 "," $185,430 "," $47,927 "," $80,903 "," $27,893 ",,2014,,Flight Attendants (note: Avg Crew = 1 FA per 50 seats), 47.4 , 47.5 , 61.3 , 32.0 , 29.5 , 30.8 , 28.6 , 32.4 , 34.3 , 39.1 , 37.2 , 39.0 , 38.5 , 41.7 , 37.7 , 37.3 , 36.6 , 39.4 , 38.9 , 39.3 , 40.2 
Average Salary," $435,987 "," $185,102 "," $47,096 "," $55,696 "," $31,472 ",,2015,,Maintenance, 36.5 , 81.2 , 11.9 , 11.8 , 11.8 , 12.2 , 12.2 , 25.4 , 18.9 , 29.9 , 31.9 , 32.2 , 31.5 , 22.4 , 30.5 , 29.0 , 28.6 , 27.7 , 33.3 , 33.0 , 31.9 
"Benefits, Pensions and Payroll Taxes",," $18,539 ",,,," $9,884 ",1995,,"Passenger, Cargo and Aircraft Handling", 6.5 , 6.2 , 9.0 , 8.4 , 10.0 , 10.2 , 10.3 , 5.5 , 7.4 , 5.6 , 5.9 , 6.2 , 6.1 , 6.4 , 6.0 , 5.9 , 5.6 , 5.4 , 5.1 , 5.4 , 5.7 
"Benefits, Pensions and Payroll Taxes",," $21,294 ",,,," $9,385 ",1996,,Other, 7.2 , 6.4 , 10.0 , 10.1 , 9.2 , 7.6 , 6.8 , 13.1 , 16.4 , 35.5 , 35.7 , 42.6 , 40.9 , 49.7 , 44.5 , 43.3 , 39.4 , 43.1 , 47.5 , 50.3 , 51.3 
"Benefits, Pensions and Payroll Taxes",," $16,903 ",,,," $9,341 ",1997,,Total, 2.2 , 2.2 , 2.1 , 2.1 , 2.1 , 2.0 , 1.9 , 2.1 , 2.5 , 2.7 , 2.7 , 2.8 , 2.8 , 2.8 , 2.7 , 2.6 , 2.5 , 2.6 , 2.5 , 2.6 , 2.7 
"Benefits, Pensions and Payroll Taxes",," $23,224 ",,,," $9,203 ",1998,,,,,,,,,,,,,,,,,,,,,,,
"Benefits, Pensions and Payroll Taxes",," $19,586 ",,,," $9,520 ",1999,,ASMs Per Employee (000),,,,,,,,,,,,,,,,,,,,,
"Benefits, Pensions and Payroll Taxes",," $25,855 ",,,," $9,151 ",2000,,Pilots & Co-Pilots," 20,828.8 "," 20,712.9 "," 18,618.4 "," 17,376.6 "," 15,032.1 "," 15,388.7 "," 14,637.8 "," 18,619.5 "," 17,763.5 "," 22,809.5 "," 22,875.3 "," 22,795.1 "," 22,388.2 "," 21,439.1 "," 21,992.1 "," 22,105.5 "," 21,670.9 "," 21,850.6 "," 20,768.1 "," 20,265.2 "," 19,766.0 "
"Benefits, Pensions and Payroll Taxes",," $45,315 ",,,," $12,201 ",2001,,Flight Attendants," 11,472.3 "," 11,499.5 "," 14,893.1 "," 7,777.6 "," 7,111.6 "," 7,367.1 "," 6,953.7 "," 7,959.3 "," 8,411.8 "," 9,533.6 "," 9,172.5 "," 9,615.3 "," 9,442.7 "," 10,281.5 "," 9,460.3 "," 9,560.2 "," 9,427.4 "," 10,066.1 "," 9,981.6 "," 10,079.2 "," 10,286.5 "
