Type of Operations,Sum of Pax Rev (000),Sum of Total Rev (000),Sum of RPM (Revenue Passenger Mile),Sum of ASM (Available Seat Mile),Sum of AC Op Expense (000),Year
Atlantic Operations,"1,103,895","1,285,806","11,157,498,000","14,263,041,000","476,699",1995
Atlantic Operations,"1,188,588","1,411,618","11,237,956,000","14,256,321,000","519,177",1996
Atlantic Operations,"1,461,725","1,745,057","13,423,768,000","17,019,708,000","574,686",1997
Atlantic Operations,"1,566,074","1,846,367","14,888,689,000","19,500,903,000","591,382",1998
Atlantic Operations,"1,671,073","1,973,406","16,994,339,000","22,133,939,000","662,933",1999
Atlantic Operations,"1,916,004","2,259,621","18,074,430,000","23,468,617,000","852,877",2000
Atlantic Operations,"1,680,954","2,081,382","17,807,167,000","24,010,676,000","1,032,794",2001
Atlantic Operations,"1,513,551","1,882,611","16,008,364,168","20,475,270,268","923,178",2002
Atlantic Operations,"1,330,572","1,761,295","14,720,986,220","18,428,921,563","839,501",2003
Atlantic Operations,"1,594,297","2,027,726","16,021,187,663","19,475,591,216","951,156",2004
Atlantic Operations,"1,752,724","2,178,048","16,097,060,492","19,556,909,374","1,099,221",2005
Atlantic Operations,"1,891,233","2,323,475","15,847,157,632","19,095,236,405","1,153,134",2006
Atlantic Operations,"2,349,367","2,760,066","17,059,641,839","20,397,953,740","1,288,624",2007
Atlantic Operations,"2,566,369","3,045,488","18,404,221,530","22,636,526,868","1,981,389",2008
Atlantic Operations,"2,207,124","2,545,343","17,938,137,495","22,042,984,766","1,245,481",2009
Atlantic Operations,"2,777,733","3,197,001","18,727,597,068","22,913,239,116","1,566,690",2010
Atlantic Operations,"2,908,332","3,483,182","18,512,611,558","23,282,864,017","1,813,815",2011
Atlantic Operations,"5,598,990","6,464,567","38,027,555,347","47,707,734,242","4,220,105",2012
Atlantic Operations,"5,912,698","7,132,308","38,297,623,893","47,111,080,933","3,796,569",2013
Atlantic Operations,"6,081,694","7,320,420","37,945,009,345","47,164,257,254","3,791,089",2014
Atlantic Operations,"5,923,328","7,067,635","37,632,598,616","47,389,032,205","2,964,763",2015
Latin America Operations,"588,402","686,086","5,033,558,000","7,991,537,000","265,880",1995
Latin America Operations,"643,950","750,480","5,307,647,000","8,331,913,000","307,453",1996
Latin America Operations,"711,580","824,070","5,416,180,000","8,300,381,000","306,172",1997
Latin America Operations,"710,851","832,000","5,877,960,000","9,708,359,000","305,189",1998
Latin America Operations,"663,605","786,972","5,699,466,000","8,990,978,000","292,776",1999
Latin America Operations,"689,251","816,362","5,663,978,000","8,121,349,000","336,441",2000
Latin America Operations,"569,611","679,022","4,981,811,000","7,332,497,000","347,595",2001
Latin America Operations,"401,712","489,105","3,987,245,977","6,110,716,510","284,306",2002
Latin America Operations,"349,536","432,330","3,737,055,173","5,083,422,609","231,663",2003
Latin America Operations,"357,219","419,212","3,452,976,019","4,442,892,456","213,819",2004
Latin America Operations,"411,011","493,741","4,017,118,420","5,161,462,271","282,244",2005
Latin America Operations,"491,651","584,974","4,533,466,191","5,638,858,331","330,482",2006
Latin America Operations,"497,652","577,110","4,034,338,627","5,062,462,514","317,982",2007
Latin America Operations,"525,504","607,472","3,810,684,022","4,918,298,837","415,638",2008
Latin America Operations,"339,535","396,640","3,079,403,782","4,007,882,870","237,911",2009
Latin America Operations,"484,121","555,342","3,354,513,560","4,220,765,774","297,950",2010
Latin America Operations,"678,233","778,912","4,284,017,040","5,517,868,941","432,112",2011
Latin America Operations,"2,616,328","3,177,132","15,681,292,779","19,560,154,375","1,597,631",2012
Latin America Operations,"2,617,589","3,260,683","15,811,741,896","19,537,826,633","1,573,969",2013
Latin America Operations,"2,786,903","3,492,832","16,985,085,519","20,607,416,355","1,656,387",2014
Latin America Operations,"2,692,598","3,367,098","18,119,163,177","22,273,553,286","1,440,168",2015
Pacific Operations,"2,874,067","2,874,067","26,103,304,000","35,970,643,000","1,264,714",1995
Pacific Operations,"2,921,892","3,437,753","27,545,211,000","37,402,209,000","1,383,538",1996
Pacific Operations,"2,966,118","3,552,197","27,527,837,000","38,424,729,000","1,456,572",1997
Pacific Operations,"2,330,038","2,842,568","24,910,072,000","34,820,329,000","1,364,835",1998
Pacific Operations,"2,144,387","2,691,247","22,207,228,000","30,707,011,000","1,170,785",1999
Pacific Operations,"2,539,430","3,161,480","24,649,137,000","33,874,860,000","1,448,488",2000
